#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.154313	-15.975475	274.484955	33.086979	54.356945	0.658004
0.166428	-15.945385	249.371017	31.564671	40.041508	0.714746
0.160237	-15.993903	275.061066	29.850983	45.065384	0.698205
0.146422	-16.009186	205.568008	31.008789	53.407146	0.651576
0.150283	-16.030428	247.640091	29.263695	42.273552	0.720346
0.166681	-16.022383	268.399017	33.510105	52.410576	0.668724
0.163745	-15.996358	287.151978	29.857546	41.063480	0.676566
0.153288	-15.844438	252.110031	33.602798	65.483444	0.739019
0.158073	-16.129164	258.099670	29.541744	41.729050	0.643660
0.165420	-16.069653	268.879547	30.612207	48.864014	0.633328
0.157845	-16.132166	279.260681	30.894281	51.853867	0.630916
0.168614	-15.934546	290.749939	30.440052	51.212830	0.633721
0.150089	-15.904037	249.920517	29.756096	48.029121	0.698336
0.145720	-15.924386	265.582458	28.804255	42.445980	0.698171
0.165668	-15.822590	216.279434	33.599243	62.889256	0.709972
0.160396	-16.100105	284.942566	33.114227	56.347706	0.713462
0.156158	-15.904411	231.366867	33.939724	61.882061	0.744662
0.169811	-16.117231	237.762863	31.389563	47.234394	0.706918
0.166246	-15.931516	241.151611	32.767921	57.504013	0.691279
0.153577	-16.062677	239.390198	30.746597	46.598438	0.748751
0.160132	-15.943101	262.521912	33.009853	65.223106	0.639325
0.168989	-16.120150	217.273788	33.649628	57.412952	0.701477
0.143782	-16.016697	296.038544	30.393457	52.955231	0.728972
0.167265	-16.186035	262.551514	33.979919	50.240009	0.717068
0.142950	-15.821744	258.403381	30.956102	41.312778	0.714328
0.167949	-16.054787	251.859268	32.383854	56.480511	0.680776
0.153800	-16.018742	294.998657	29.943129	42.615208	0.665488
0.141369	-15.930027	241.074509	31.741249	54.139126	0.723739
0.167796	-15.800137	268.434753	32.405685	58.463024	0.707079
0.161030	-16.107161	206.754700	31.171928	41.897007	0.656365
0.166804	-15.829802	209.690094	30.215384	41.856300	0.665324
0.168304	-15.846551	234.000351	30.712650	55.128246	0.589019
0.156377	-15.938666	232.221039	32.552498	53.100662	0.727157
0.144777	-15.974798	295.005829	29.591904	42.611298	0.742868
0.146952	-15.858535	271.998657	32.249596	47.824089	0.713134
0.140825	-15.874780	240.225220	32.463421	57.253967	0.741258
0.152035	-15.800497	232.915283	33.218544	64.070358	0.702858
0.153014	-15.969967	230.714615	33.584999	61.954941	0.696888
0.151938	-15.850596	270.561432	30.331371	46.840942	0.685107
0.147810	-16.050104	202.534363	31.162634	42.874767	0.660663
0.157919	-16.169714	266.284393	29.886475	42.847725	0.740419
0.161371	-15.993118	270.817322	31.677168	56.986908	0.715904
0.168818	-15.890725	207.744324	32.644222	55.163006	0.585784
0.146770	-15.869809	269.828186	29.624517	50.201374	0.684086
0.153460	-15.917884	282.298096	33.750965	61.042877	0.704129
0.151143	-16.041265	246.907730	30.287773	41.381168	0.701730
0.149925	-15.923677	253.891449	31.991089	59.094303	0.664579
0.149307	-15.891657	217.511047	32.826012	50.891258	0.731712
0.156577	-16.163565	295.549500	33.029549	63.876068	0.708286
0.153379	-16.043989	251.690460	31.269096	50.350418	0.742467
0.169881	-15.901689	227.668884	30.558292	49.607563	0.609793
0.144182	-16.182444	245.579315	32.688023	56.314762	0.678702
0.169528	-16.011003	280.570160	32.703266	56.962002	0.618214
0.167620	-15.902596	244.457321	33.297405	55.804234	0.720319
0.163426	-15.958297	298.051910	31.260084	55.936714	0.670299
